song_slug,n,pct_ge_10,pct_ge_15,pct_ge_20,median_duration,median_position
1999,4.0,0.5,0.0,0.0,721.3715,1.5
20-20-vision,1.0,0.0,0.0,0.0,176.718,4.0
46-days,157.0,0.19745222929936307,0.03821656050955414,0.012738853503184714,470.572,9.0
5-15,1.0,0.0,0.0,0.0,385.097,20.0
50-ways-to-leave-your-lover,1.0,0.0,0.0,0.0,233.927,21.0
555,69.0,0.028985507246376812,0.014492753623188406,0.014492753623188406,379.298,5.0
99-problems,1.0,0.0,0.0,0.0,280.189,12.0
a-apolitical-blues,1.0,0.0,0.0,0.0,226.534,24.0
a-day-in-the-life,74.0,0.013513513513513514,0.0,0.0,309.79949999999997,19.0
a-life-beyond-the-dream,39.0,0.0,0.0,0.0,450.35900000000004,18.0
a-song-i-heard-the-ocean-sing,50.0,0.28,0.12,0.0,453.0545,10.0
a-wave-of-hope,35.0,0.7142857142857143,0.4,0.17142857142857143,850.416,11.0
about-to-run,28.0,0.0,0.0,0.0,411.864,11.0
ac-dc-bag,338.0,0.10059171597633136,0.04142011834319527,0.01775147928994083,406.335,5.0
access-me,7.0,0.0,0.0,0.0,243.069,4.0
acoustic-army,27.0,0.037037037037037035,0.0,0.0,245.838,15.0
after-midnight,8.0,0.125,0.0,0.0,395.0775,15.5
ain-t-love-funny,4.0,0.0,0.0,0.0,335.3865,8.5
alaska,44.0,0.18181818181818182,0.022727272727272728,0.0,548.389,9.5
albuquerque,17.0,0.11764705882352941,0.11764705882352941,0.0,265.796,12.0
all-along-the-watchtower,2.0,1.0,0.0,0.0,761.7435,21.0
all-blues,4.0,0.0,0.0,0.0,190.72,5.0
all-down-the-line,1.0,0.0,0.0,0.0,339.096,24.0
all-of-me,1.0,0.0,0.0,0.0,364.931,17.0
all-of-these-dreams,16.0,0.0625,0.0625,0.0,268.87850000000003,8.5
all-that-you-dream,1.0,0.0,0.0,0.0,259.579,12.0
all-the-pain-through-the-years,1.0,0.0,0.0,0.0,484.232,10.0
all-things-reconsidered,81.0,0.012345679012345678,0.0,0.0,179.801,8.0
also-sprach-zarathustra,274.0,0.23357664233576642,0.06204379562043796,0.01824817518248175,415.89549999999997,13.0
alumni-blues,211.0,0.052132701421800945,0.0,0.0,303.073,10.0
amazing-grace,113.0,0.017699115044247787,0.0,0.0,123.16749999999999,22.0
ambient-jam,1.0,1.0,1.0,1.0,1443.2962799999998,31.0
american-woman,1.0,0.0,0.0,0.0,364.931,26.0
amidst-the-peals-of-laughter,1.0,0.0,0.0,0.0,103.131,23.0
amoreena,1.0,0.0,0.0,0.0,363.468,1.0
anarchy,12.0,0.0,0.0,0.0,51.696,18.0
and-flew-away,1.0,1.0,1.0,1.0,1400.4000000000005,11.0
and-so-to-bed,1.0,0.0,0.0,0.0,235.272,16.0
andy-s-chest,1.0,0.0,0.0,0.0,363.8595,17.0
any-colour-you-like,1.0,0.0,0.0,0.0,241.084,21.0
anything-but-me,12.0,0.0,0.0,0.0,356.4145,6.5
arc,1.0,1.0,0.0,0.0,874.397,5.0
architect,4.0,0.0,0.0,0.0,387.161,14.5
army-of-one,27.0,0.0,0.0,0.0,288.595,6.0
art-jam,1.0,1.0,0.0,0.0,603.115,15.0
ass-handed,19.0,0.05263157894736842,0.05263157894736842,0.0,106.083,9.0
auld-lang-syne,29.0,0.06896551724137931,0.0,0.0,118.596,20.0
autumn-leaves,4.0,0.0,0.0,0.0,364.931,3.0
avenu-malkenu,84.0,0.047619047619047616,0.011904761904761904,0.0,194.651,12.5
axilla,113.0,0.061946902654867256,0.017699115044247787,0.0,224.392,9.0
axilla-part-ii,61.0,0.11475409836065574,0.04918032786885246,0.01639344262295082,271.125,7.0
baby-elephant-walk,2.0,0.0,0.0,0.0,336.614,28.0
baby-lemonade,2.0,0.0,0.0,0.0,132.65,21.0
babylon-baby,3.0,0.0,0.0,0.0,416.287,9.0
babylon-is-burning,1.0,0.0,0.0,0.0,357.642,12.0
back-at-the-chicken-shack,9.0,0.1111111111111111,0.1111111111111111,0.0,408.4375,3.0
back-in-the-bubble,1.0,0.0,0.0,0.0,399.624,4.0
back-in-the-u-s-s-r,3.0,0.0,0.0,0.0,211.357,13.0
back-on-the-train,171.0,0.07602339181286549,0.011695906432748537,0.0,453.46,5.0
back-porch-boogie-blues,9.0,0.0,0.0,0.0,405.238,4.0
backwards-down-the-number-line,145.0,0.0896551724137931,0.006896551724137931,0.006896551724137931,467.1735,15.0
band-crew-football-theme-song,2.0,0.0,0.0,0.0,272.144,12.5
basin-street-blues,1.0,0.0,0.0,0.0,364.931,18.0
bathtub-gin,320.0,0.66875,0.209375,0.059375,692.01,8.0
beaumont-rag,4.0,0.0,0.0,0.0,180.16649999999998,18.5
beauty-of-a-broken-heart,15.0,0.0,0.0,0.0,332.251,8.0
beauty-of-my-dreams,57.0,0.03508771929824561,0.0,0.0,190.1845,5.0
been-caught-stealing,6.0,0.0,0.0,0.0,252.97,17.0
bell-boy,1.0,0.0,0.0,0.0,274.155,23.0
beneath-a-sea-of-stars-part-1,21.0,0.42857142857142855,0.23809523809523808,0.09523809523809523,571.22,14.0
bertha,3.0,0.0,0.0,0.0,579.84,3.0
big-alligator,1.0,0.0,0.0,0.0,187.011,7.0
big-ball-jam,103.0,0.019417475728155338,0.0,0.0,167.34,18.0
big-balls,1.0,0.0,0.0,0.0,189.884,14.0
big-black-furry-creature-from-mars,144.0,0.027777777777777776,0.0,0.0,274.965,19.0
big-leg-emma,7.0,0.0,0.0,0.0,294.139,7.0
big-pimpin,1.0,0.0,0.0,0.0,195.657,13.0
bike,43.0,0.09302325581395349,0.046511627906976744,0.023255813953488372,335.7,19.0
bill-bailey-won-t-you-please-come-home,8.0,0.0,0.0,0.0,284.65650000000005,15.0
billie-jean,1.0,1.0,0.0,0.0,637.205,18.0
billy-breathes,66.0,0.015151515151515152,0.0,0.0,372.8845,7.5
birds-of-a-feather,140.0,0.22857142857142856,0.08571428571428572,0.02142857142857143,465.998,9.5
birthday,1.0,0.0,0.0,0.0,218.436,30.0
bitchin-again,1.0,0.0,0.0,0.0,275.184,32.0
bittersweet-motel,19.0,0.0,0.0,0.0,238.446,16.0
black-and-tan-fantasy,1.0,0.0,0.0,0.0,202.971,17.0
black-eyed-katy,7.0,0.2857142857142857,0.0,0.0,491.468,4.0
blackberry-blossom,1.0,0.0,0.0,0.0,102.48,1.0
blackbird,2.0,0.0,0.0,0.0,136.90800000000002,19.0
blaze-on,95.0,0.42105263157894735,0.08421052631578947,0.021052631578947368,551.208,9.0
bliss,2.0,0.0,0.0,0.0,208.284,11.5
blister-in-the-sun,4.0,0.0,0.0,0.0,86.8175,13.5
blue-bayou,2.0,0.0,0.0,0.0,179.5525,23.5
blue-bossa,2.0,0.0,0.0,0.0,435.187,16.0
blue-monk,3.0,0.0,0.0,0.0,284.00350000000003,8.0
blue-moon,1.0,0.0,0.0,0.0,234.214,29.0
blue-skies,1.0,0.0,0.0,0.0,179.696,5.0
blue-sky,1.0,0.0,0.0,0.0,221.858,10.0
bobby-jean,1.0,0.0,0.0,0.0,284.056,13.0
bohemian-rhapsody,2.0,0.0,0.0,0.0,323.29449999999997,22.5
bold-as-love,85.0,0.023529411764705882,0.0,0.0,361.064,17.0
boogie-on-reggae-woman,95.0,0.10526315789473684,0.031578947368421054,0.010526315789473684,377.2475,14.0
born-to-run,1.0,0.0,0.0,0.0,372.245,18.0
born-under-punches-the-heat-goes-on,1.0,0.0,0.0,0.0,419.448,11.0
bouncing-around-the-room,493.0,0.02636916835699797,0.010141987829614604,0.004056795131845842,225.11,8.0
box-of-rain,1.0,0.0,0.0,0.0,335.073,1.0
brain-damage,1.0,0.0,0.0,0.0,102.687,22.0
breath-and-burning,18.0,0.05555555555555555,0.0,0.0,373.1855,3.0
breathe,2.0,0.0,0.0,0.0,318.315,15.0
brian-and-robert,53.0,0.05660377358490566,0.0,0.0,241.998,8.0
