song_slug,era_label,n,pct_ge_10,pct_ge_15,pct_ge_20,median_duration,median_position
1999,1.0 (1983–2000),1.0,0.0,0.0,0.0,565.316,1.0
1999,3.0 (2009–2020),1.0,1.0,0.0,0.0,877.427,13.0
1999,4.0 (2021–present),2.0,0.5,0.0,0.0,611.7875,1.5
20-20-vision,3.0 (2009–2020),1.0,0.0,0.0,0.0,176.718,4.0
46-days,2.0 (2003–2004),10.0,0.4,0.3,0.2,575.909,11.0
46-days,3.0 (2009–2020),102.0,0.13725490196078433,0.0196078431372549,0.0,452.049,10.0
46-days,4.0 (2021–present),44.0,0.29545454545454547,0.022727272727272728,0.0,512.124,5.0
46-days,Other/Hiatus,1.0,0.0,0.0,0.0,235.964,1.0
5-15,1.0 (1983–2000),1.0,0.0,0.0,0.0,385.097,20.0
50-ways-to-leave-your-lover,3.0 (2009–2020),1.0,0.0,0.0,0.0,233.927,21.0
555,3.0 (2009–2020),52.0,0.019230769230769232,0.0,0.0,379.3895,4.0
555,4.0 (2021–present),17.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,377.376,5.0
99-problems,2.0 (2003–2004),1.0,0.0,0.0,0.0,280.189,12.0
a-apolitical-blues,3.0 (2009–2020),1.0,0.0,0.0,0.0,226.534,24.0
a-day-in-the-life,1.0 (1983–2000),45.0,0.022222222222222223,0.0,0.0,304.692,18.0
a-day-in-the-life,3.0 (2009–2020),27.0,0.0,0.0,0.0,336.614,20.0
a-day-in-the-life,4.0 (2021–present),2.0,0.0,0.0,0.0,363.744,9.5
a-life-beyond-the-dream,3.0 (2009–2020),7.0,0.0,0.0,0.0,444.421,21.0
a-life-beyond-the-dream,4.0 (2021–present),32.0,0.0,0.0,0.0,450.46750000000003,16.0
a-song-i-heard-the-ocean-sing,2.0 (2003–2004),3.0,0.3333333333333333,0.3333333333333333,0.0,416.81,8.0
a-song-i-heard-the-ocean-sing,3.0 (2009–2020),36.0,0.19444444444444445,0.027777777777777776,0.0,428.1835,10.0
a-song-i-heard-the-ocean-sing,4.0 (2021–present),11.0,0.5454545454545454,0.36363636363636365,0.0,657.456,11.0
a-wave-of-hope,4.0 (2021–present),35.0,0.7142857142857143,0.4,0.17142857142857143,850.416,11.0
about-to-run,3.0 (2009–2020),7.0,0.0,0.0,0.0,431.438,11.0
about-to-run,4.0 (2021–present),21.0,0.0,0.0,0.0,407.376,13.0
ac-dc-bag,1.0 (1983–2000),239.0,0.0794979079497908,0.03347280334728033,0.016736401673640166,406.335,8.0
ac-dc-bag,2.0 (2003–2004),12.0,0.5,0.25,0.08333333333333333,646.073,4.0
ac-dc-bag,3.0 (2009–2020),66.0,0.0,0.0,0.0,398.315,2.0
ac-dc-bag,4.0 (2021–present),21.0,0.42857142857142855,0.14285714285714285,0.047619047619047616,586.488,3.0
access-me,2.0 (2003–2004),1.0,0.0,0.0,0.0,182.857,1.0
access-me,3.0 (2009–2020),5.0,0.0,0.0,0.0,243.069,7.0
access-me,4.0 (2021–present),1.0,0.0,0.0,0.0,277.29,3.0
acoustic-army,1.0 (1983–2000),27.0,0.037037037037037035,0.0,0.0,245.838,15.0
after-midnight,1.0 (1983–2000),2.0,0.0,0.0,0.0,389.93100000000004,25.5
after-midnight,3.0 (2009–2020),6.0,0.16666666666666666,0.0,0.0,418.8215,14.0
ain-t-love-funny,1.0 (1983–2000),4.0,0.0,0.0,0.0,335.3865,8.5
alaska,3.0 (2009–2020),40.0,0.2,0.025,0.0,544.1179999999999,10.0
alaska,4.0 (2021–present),4.0,0.0,0.0,0.0,552.6545,7.0
albuquerque,1.0 (1983–2000),13.0,0.07692307692307693,0.07692307692307693,0.0,262.322,12.0
