show_id,show_date_iso,venue_slug,year,era_label,has_special,perf_count,openers,closers,longest_jam_song,longest_jam_sec
1983-12-02_harris-millis-cafeteria-university-of-vermont,1983-12-02,harris-millis-cafeteria-university-of-vermont,1983,1.0 (1983–2000),0,8,long cool woman in a black dress; proud mary,happy birthday to you; fire on the mountain,scarlet begonias,555.4339399999999
1984-10-23_69-grant-street,1984-10-23,69-grant-street,1984,1.0 (1983–2000),0,1,makisupa policeman,makisupa policeman,makisupa policeman,369.032
1984-11-03_slade-hall-university-of-vermont,1984-11-03,slade-hall-university-of-vermont,1984,1.0 (1983–2000),0,11,in the midnight hour; wild child,drums,st stephen,1072.013
1984-12-01_nectar-s,1984-12-01,nectar-s,1984,1.0 (1983–2000),0,19,jam; wild child,fluffhead; eyes of the world,eyes of the world,809.064
1985-02-01_doolin-s,1985-02-01,doolin-s,1985,1.0 (1983–2000),0,9,slave to the traffic light; mike s song,run like an antelope,you enjoy myself,1063.21
1985-03-04_hunt-s,1985-03-04,hunt-s,1985,1.0 (1983–2000),0,5,anarchy; camel walk,in the midnight hour,fire up the ganja,916.088
1985-03-08_doolin-s,1985-03-08,doolin-s,1985,1.0 (1983–2000),0,1,sneakin sally through the alley,sneakin sally through the alley,sneakin sally through the alley,467.2785
1985-03-16_doolin-s,1985-03-16,doolin-s,1985,1.0 (1983–2000),0,5,alumni blues; skippy the wondermouse,mike s song,skippy the wondermouse,741.224
1985-04-06_finbar-s,1985-04-06,finbar-s,1985,1.0 (1983–2000),0,20,i am hydrogen; don t want you no more,run like an antelope; makisupa policeman; quinn the eskimo the mighty quinn,run like an antelope,657.1625
1985-05-03_university-of-vermont,1985-05-03,university-of-vermont,1985,1.0 (1983–2000),0,18,slave to the traffic light; mike s song,big leg emma; bring it on home; the other one; anarchy,whipping post,1093.4656000000002
1985-05-31_slade-hall-university-of-vermont,1985-05-31,slade-hall-university-of-vermont,1985,1.0 (1983–2000),0,1,big leg emma,big leg emma,big leg emma,294.139
1985-09-26_wruv-radio,1985-09-26,wruv-radio,1985,1.0 (1983–2000),0,7,dog log; prep school hippie,mcgrupp and the watchful hosemasters,run like an antelope,657.1625
1985-09-27_slade-hall-university-of-vermont,1985-09-27,slade-hall-university-of-vermont,1985,1.0 (1983–2000),0,22,low rider; big leg emma,in the midnight hour; prep school hippie; makisupa policeman,slave to the traffic light,609.8285000000001
1985-10-17_finbar-s,1985-10-17,finbar-s,1985,1.0 (1983–2000),0,11,t v theme; alumni blues,mcgrupp and the watchful hosemasters,alumni blues,612.232
1985-10-30_hunt-s,1985-10-30,hunt-s,1985,1.0 (1983–2000),0,12,harry hood; dog log,skippy the wondermouse,skippy the wondermouse,932.754
1985-11-14_memorial-auditorium-basement,1985-11-14,memorial-auditorium-basement,1985,1.0 (1983–2000),0,8,slave to the traffic light; hurricane,dear mrs reagan,slave to the traffic light,609.8285000000001
1985-11-23_goddard-college,1985-11-23,goddard-college,1985,1.0 (1983–2000),0,5,wild thing,wild thing; dave s energy guide,whipping post,1093.4656000000002
1985-12-13_the-little-red-house,1985-12-13,the-little-red-house,1985,1.0 (1983–2000),0,1,jam,jam,jam,389.4725
1986-02-03_hunt-s,1986-02-03,hunt-s,1986,1.0 (1983–2000),0,13,slave to the traffic light; mike s song,run like an antelope; dec 1661,you enjoy myself,609.254
1986-04-01_hunt-s,1986-04-01,hunt-s,1986,1.0 (1983–2000),0,16,quinn the eskimo the mighty quinn; have mercy,you enjoy myself; dear mrs reagan; not fade away,icculus,791.8693000000004
1986-04-25_university-of-vermont,1986-04-25,university-of-vermont,1986,1.0 (1983–2000),0,16,ac dc bag; dear mrs reagan,alumni blues,you enjoy myself,625.398
1986-05-17_goddard-college,1986-05-17,goddard-college,1986,1.0 (1983–2000),0,3,halley s comet; back porch boogie blues,halley s comet,back porch boogie blues,405.238
1986-05-24_hunt-s,1986-05-24,hunt-s,1986,1.0 (1983–2000),0,4,dog log; halley s comet,halley s comet,back porch boogie blues,405.238
1986-10-12_haybarn-theater-goddard-college,1986-10-12,haybarn-theater-goddard-college,1986,1.0 (1983–2000),0,7,golgi apparatus; slave to the traffic light,makisupa policeman,halley s comet,468.297
1986-10-15_hunt-s,1986-10-15,hunt-s,1986,1.0 (1983–2000),0,27,alumni blues; makisupa policeman,lushington; harry hood; anarchy; clod,you enjoy myself,645.486
1986-10-31_sculpture-room-goddard-college,1986-10-31,sculpture-room-goddard-college,1986,1.0 (1983–2000),1,21,mustang sally; camel walk,fluffhead; alumni blues,have mercy,708.702
1986-12-06_the-ranch,1986-12-06,the-ranch,1986,1.0 (1983–2000),0,32,funky bitch; possum,fluffhead; cities; prep school hippie,whipping post,737.176
1987-01-21_hunt-s,1987-01-21,hunt-s,1987,1.0 (1983–2000),0,9,wilson,wilson; fluffhead,fluffhead,869.616
1987-02-13_johnson-state-college,1987-02-13,johnson-state-college,1987,1.0 (1983–2000),0,16,sneakin sally through the alley; possum,good times bad times; harry hood,harry hood,584.411
1987-02-21_slade-hall-university-of-vermont,1987-02-21,slade-hall-university-of-vermont,1987,1.0 (1983–2000),0,19,why don t you love me,why don t you love me; alumni blues,fluffhead,583.053
1987-03-06_goddard-college,1987-03-06,goddard-college,1987,1.0 (1983–2000),0,14,funky bitch; good times bad times,sneakin sally through the alley; wilson; slave to the traffic light,slave to the traffic light,609.8285000000001
1987-03-23_nectar-s,1987-03-23,nectar-s,1987,1.0 (1983–2000),0,16,funky bitch; mike s song,sparks; swing low sweet chariot,letter to jimmy page,659.487
1987-04-24_billings-lounge-university-of-vermont,1987-04-24,billings-lounge-university-of-vermont,1987,1.0 (1983–2000),0,15,golgi apparatus; ac dc bag,slave to the traffic light,you enjoy myself,583.053
1987-04-29_nectar-s,1987-04-29,nectar-s,1987,1.0 (1983–2000),0,33,she caught the katy and left me a mule to ride; alumni blues,lushington; ac dc bag; who do we do; fuck your face,run like an antelope,543.843
1987-05-11_nectar-s,1987-05-11,nectar-s,1987,1.0 (1983–2000),0,22,you enjoy myself; lushington,ya mar; good times bad times; letter to jimmy page,you enjoy myself,824.921
1987-05-20_the-ranch,1987-05-20,the-ranch,1987,1.0 (1983–2000),0,10,wilson; run like an antelope,alumni blues; fire,harry hood,992.31116
1987-08-09_nectar-s,1987-08-09,nectar-s,1987,1.0 (1983–2000),0,29,golgi apparatus; slave to the traffic light,funky bitch; suzy greenberg; corinna,you enjoy myself,992.31116
1987-08-10_nectar-s,1987-08-10,nectar-s,1987,1.0 (1983–2000),0,26,peaches en regalia; alumni blues,good times bad times; la grange; dear mrs reagan,i know a little,882.547
1987-08-21_ian-mclean-s-farm,1987-08-21,ian-mclean-s-farm,1987,1.0 (1983–2000),0,31,dog log; peaches en regalia,camel walk; the sloth; swing low sweet chariot,mike s song,992.31116
1987-08-29_the-ranch,1987-08-29,the-ranch,1987,1.0 (1983–2000),0,39,alumni blues; letter to jimmy page,the man who stepped into yesterday; harpua; jesus just left chicago; she caught the katy and left me a mule to ride,who do we do,980.349
1987-09-02_hunt-s,1987-09-02,hunt-s,1987,1.0 (1983–2000),0,13,ac dc bag; fluffhead,you enjoy myself,david bowie,743.6279999999999
1987-09-21_nectar-s,1987-09-21,nectar-s,1987,1.0 (1983–2000),0,33,the man who stepped into yesterday; avenu malkenu,possum; alumni blues; fluffhead,you enjoy myself,864.131
1987-09-26_odd-fellows-hall,1987-09-26,odd-fellows-hall,1987,1.0 (1983–2000),0,1,possum,possum,possum,555.3375
