song_slug,era_label,x_umap,y_umap,n
1999,1.0 (1983–2000),0.3672990503434261,0.7543982766308388,1
1999,3.0 (2009–2020),0.38260754494759464,0.4103912517917863,1
1999,4.0 (2021–present),0.37194184155949184,0.7095528750194271,2
46-days,2.0 (2003–2004),0.466522403156868,0.4974185620251531,2
46-days,3.0 (2009–2020),0.5139425212168935,0.5660225340271452,12
46-days,4.0 (2021–present),0.4942491055917322,0.5976109949814409,5
46-days,Other/Hiatus,0.5860988122377946,0.6147802280794677,1
555,3.0 (2009–2020),0.44808677815183173,0.6417780247744778,7
555,4.0 (2021–present),0.3211573727152984,0.7385851827983494,5
a-day-in-the-life,1.0 (1983–2000),0.15506984992976758,0.25298839481748897,5
a-day-in-the-life,3.0 (2009–2020),0.20652207120159669,0.16861169981774488,11
a-day-in-the-life,4.0 (2021–present),0.1362940322828244,0.6032442693172962,2
a-life-beyond-the-dream,3.0 (2009–2020),0.303100583942692,0.209405524668829,2
a-life-beyond-the-dream,4.0 (2021–present),0.2867011650622777,0.2804748285433738,5
a-song-i-heard-the-ocean-sing,2.0 (2003–2004),0.45377827327529807,0.5567602197661092,1
a-song-i-heard-the-ocean-sing,3.0 (2009–2020),0.30612988547584147,0.4786348616471096,11
a-song-i-heard-the-ocean-sing,4.0 (2021–present),0.3594327612295763,0.43259662884527117,5
about-to-run,3.0 (2009–2020),0.24528459741278696,0.5943626391849468,1
about-to-run,4.0 (2021–present),0.22194431020771072,0.5818351862037487,5
ac-dc-bag,1.0 (1983–2000),0.39945619206378397,0.5497878447838975,15
ac-dc-bag,2.0 (2003–2004),0.4330279214980528,0.5550271969370095,2
ac-dc-bag,3.0 (2009–2020),0.42340339202517135,0.7319239427653024,11
ac-dc-bag,4.0 (2021–present),0.39397478833545674,0.6029805310182135,5
access-me,2.0 (2003–2004),0.25081460777885406,0.9949485259362884,1
access-me,3.0 (2009–2020),0.17155116260106207,0.7999569873657127,5
access-me,4.0 (2021–present),0.2579955343301929,0.9280858229436886,1
after-midnight,1.0 (1983–2000),0.2201014766145508,0.06095030213679161,1
after-midnight,3.0 (2009–2020),0.17100618390227712,0.47077168998787955,5
alaska,3.0 (2009–2020),0.32382379744102674,0.5378110320898334,10
alaska,4.0 (2021–present),0.3125270364010381,0.570129422375933,4
albuquerque,1.0 (1983–2000),0.19716463859902492,0.5377254089605656,3
albuquerque,3.0 (2009–2020),0.10749939857455248,0.18912914943259537,3
albuquerque,4.0 (2021–present),0.4028634494507678,0.4581242925660621,1
all-of-these-dreams,2.0 (2003–2004),0.1855237371495737,0.6619583514780294,2
all-of-these-dreams,3.0 (2009–2020),0.10323850969839413,0.6724323486623103,4
all-of-these-dreams,4.0 (2021–present),0.25690892160239626,0.8292616922235881,3
all-of-these-dreams,Other/Hiatus,0.5859100959736204,0.6151003356166322,1
also-sprach-zarathustra,1.0 (1983–2000),0.4976247667419611,0.5452706000043979,8
also-sprach-zarathustra,2.0 (2003–2004),0.4408943464490659,0.43222047967990085,2
also-sprach-zarathustra,3.0 (2009–2020),0.32825782471781595,0.27417931880995217,12
also-sprach-zarathustra,4.0 (2021–present),0.3194003343870128,0.3284724386271494,5
alumni-blues,1.0 (1983–2000),0.5900099793668988,0.5510222962303183,9
alumni-blues,3.0 (2009–2020),0.19116155865281603,0.8803445882904751,8
alumni-blues,4.0 (2021–present),0.16777284934350462,0.4274132275194016,3
